rank,count,word
0,83769,the
1,46783,of
2,45449,and
3,41843,a
4,36108,to
5,27866,i
6,26403,in
7,16380,it
8,16124,that
9,15162,was
10,15052,is
11,11512,he
12,10978,on
13,10574,his
14,10500,with
15,10358,as
16,10262,for
17,9869,my
18,8794,you
19,8274,by
20,8121,not
21,7917,be
22,7832,s
23,7668,at
24,7626,have
25,7251,from
26,7170,but
27,7069,or
28,6381,had
29,6149,one
30,6079,this
31,5737,an
32,5049,are
33,5014,so
34,5009,which
35,4637,would
36,4627,we
37,4619,there
38,4403,they
39,4299,me
40,4224,all
41,4001,will
42,3935,out
43,3922,if
44,3804,when
45,3767,into
46,3740,were
47,3657,about
48,3584,what
49,3383,your
50,3319,been
51,3208,up
52,3200,their
53,3115,no
54,2900,who
55,2887,them
56,2778,has
57,2705,can
58,2661,him
59,2566,some
60,2483,am
61,2414,do
62,2394,time
63,2342,more
64,2280,then
65,2260,could
66,2083,upon
67,2082,she
68,2079,her
69,2071,other
70,2034,its
71,2001,like
72,1965,now
73,1859,did
74,1847,such
75,1807,than
76,1794,even
77,1794,where
78,1741,any
79,1731,day
80,1721,may
81,1700,might
82,1686,over
83,1677,said
84,1650,know
85,1634,down
86,1610,only
87,1585,dobson
88,1578,our
89,1557,before
90,1542,head
91,1478,those
92,1471,very
93,1469,after
94,1456,here
95,1444,man
96,1430,first
97,1424,just
98,1404,back
99,1392,through
100,1367,never
101,1361,much
102,1348,think
103,1344,many
104,1308,made
105,1302,way
106,1301,being
107,1290,how
108,1274,say
109,1268,years
110,1267,off
111,1252,these
112,1241,see
113,1211,us
114,1178,two
115,1163,little
116,1162,ever
117,1155,old
118,1147,away
119,1130,make
120,1129,hooting
121,1120,t
122,1109,yard
123,1100,new
124,1096,well
125,1086,most
126,1076,mr
127,1039,too
128,1025,still
129,1018,go
130,1007,while
131,995,course
132,981,though
133,972,far
134,951,book
135,932,last
136,926,find
137,922,yet
138,918,read
139,917,must
140,917,long
141,908,come
142,908,take
143,889,own
144,889,world
145,877,every
146,875,something
147,853,until
148,853,great
149,852,things
150,841,each
151,840,again
152,838,once
153,833,why
154,831,few
155,826,because
156,821,perhaps
157,816,thing
158,813,name
159,809,himself
160,805,should
161,802,came
162,795,thought
163,781,get
164,779,life
165,775,found
166,772,another
167,772,next
168,769,indeed
169,768,without
170,767,around
171,764,key
172,759,quite
173,759,rather
174,758,words
175,744,took
176,738,myself
177,724,let
178,721,also
179,718,nor
180,715,set
181,715,work
182,713,birds
183,711,having
184,706,place
185,702,brain
186,687,shall
187,686,across
188,686,tiny
189,683,both
190,678,good
191,678,days
192,667,night
193,661,people
194,661,along
195,659,least
196,650,point
197,648,always
198,646,town
199,645,does
200,645,put
201,634,given
202,628,case
203,627,under
204,625,home
205,621,going
206,619,air
207,618,sea
208,613,end
209,607,morning
210,599,later
211,599,pointy
212,596,thus
213,591,called
214,580,same
215,578,went
216,578,three
217,578,several
218,577,often
219,575,ago
220,574,need
221,573,idea
222,567,today
223,565,between
224,559,look
225,559,nothing
226,555,able
227,546,sure
228,546,hand
229,544,person
230,543,enough
231,540,among
232,539,further
233,538,however
234,525,piece
235,523,tell
236,519,week
237,517,readers
238,514,kind
239,514,fact
240,514,against
241,512,example
242,509,part
243,506,within
244,505,word
245,505,reading
246,504,left
247,501,eyes
248,498,past
249,498,god
250,497,almost
251,497,o
252,496,remember
253,491,saw
254,491,seen
255,490,told
256,490,number
257,488,water
258,486,cannot
259,484,bird
260,479,known
261,478,pig
262,475,room
263,475,towards
264,475,used
265,472,year
266,471,door
267,469,black
268,465,asked
269,464,better
270,462,small
271,461,use
272,458,captain
273,457,done
274,456,different
275,454,light
276,453,sort
277,450,story
278,449,pamphlet
279,443,best
280,443,dog
281,442,mind
282,442,oh
283,442,taken
284,441,soon
285,440,big
286,438,give
287,433,note
288,432,become
289,431,whose
290,431,got
291,431,pamphleteer
292,429,sky
293,427,wrote
294,426,paper
295,424,important
296,423,right
297,423,heard
298,420,hours
299,417,write
300,415,land
301,415,knew
302,412,lost
303,411,times
304,411,four
305,410,behind
306,410,second
307,408,attention
308,408,king
309,407,during
310,406,certain
311,403,death
312,402,true
313,401,don
314,400,sometimes
315,400,sense
316,400,print
317,398,full
318,398,actually
319,398,keep
320,398,since
321,396,written
322,396,dead
323,394,whether
324,392,matter
325,388,itself
326,386,together
327,384,single
328,384,learned
329,382,books
330,381,film
331,376,bag
332,376,turn
333,375,want
334,370,turned
335,367,call
336,367,house
337,366,face
338,366,side
339,365,question
340,355,instead
341,354,breakfast
342,354,else
343,353,making
344,353,field
345,353,century
346,351,series
347,350,writing
348,349,hat
349,348,clear
350,347,d
351,340,prose
352,339,less
353,338,human
354,337,round
355,337,cows
356,334,hands
357,334,earth
358,332,began
359,331,ground
360,330,young
361,329,high
362,329,already
363,328,above
364,326,ought
365,326,sat
366,325,looked
367,324,particularly
368,324,wish
369,324,horse
370,324,blodgett
371,322,post
372,320,probably
373,319,chew
374,318,yes
375,318,village
376,315,cow
377,315,hear
378,314,sound
379,314,half
380,314,subject
381,313,seems
382,312,became
383,311,marigold
384,310,milk
385,310,hope
386,310,eye
387,309,either
388,308,cardboard
389,307,simply
390,305,whole
391,305,open
392,305,outside
393,305,pebblehead
394,302,seemed
395,301,hair
396,300,reason
397,298,eggs
398,298,form
399,298,history
400,298,real
401,297,recall
402,296,m
403,295,kept
404,295,doing
405,295,pair
406,294,anything
407,293,fictional
408,292,song
409,292,wild
410,292,table
411,289,ask
412,289,tea
413,288,show
414,288,appeared
415,288,blood
416,288,men
417,287,letter
418,286,list
419,285,really
420,284,certainly
421,284,order
422,283,dr
423,283,moment
424,281,beyond
425,281,hard
426,280,top
427,280,happened
428,280,hot
429,278,tin
430,278,longer
431,277,voice
432,276,learn
433,275,following
434,274,picture
435,274,reader
436,273,six
437,272,gone
438,271,copy
439,270,bit
440,270,white
441,270,couple
442,270,peasant
443,270,bus
444,269,ears
445,269,gave
446,269,large
447,268,due
448,265,music
449,265,title
450,265,themselves
451,262,doubt
452,262,taking
453,262,thinking
454,262,possibly
455,260,lane
456,259,rain
457,259,wooden
458,257,imagine
459,257,fell
460,257,heads
461,256,father
462,256,woman
463,255,lord
464,255,account
465,254,pocket
466,253,picnic
467,253,although
468,252,john
469,251,using
470,251,shop
471,251,various
472,250,passed
473,250,likely
474,249,monkey
475,248,help
476,248,goat
477,248,box
478,248,spot
479,247,five
480,247,cold
481,246,floor
482,246,answer
483,246,neither
484,245,dear
485,245,minutes
486,244,looking
487,244,entirely
488,244,lay
489,243,seaside
490,243,comes
491,243,character
492,243,yesterday
493,243,stick
494,242,clearly
495,242,otherwise
496,242,tarleton
497,241,window
498,241,blue
499,241,early
500,240,possible
501,240,spent
502,240,whom
503,240,art
504,239,none
505,239,sitting
506,239,everything
507,239,fire
508,239,mad
509,239,whatever
510,239,return
511,238,eventually
512,238,felt
513,238,near
514,236,close
515,235,rest
516,235,lot
517,235,others
518,234,usually
519,234,state
520,233,stop
521,233,future
522,233,boots
523,233,wearing
524,233,dabbler
525,233,mrs
526,232,bed
527,232,present
528,231,brought
529,231,line
530,231,particular
531,228,heart
532,228,babinsky
533,227,trying
534,227,pages
535,227,feel
536,226,tree
537,226,children
538,226,dark
539,226,mother
540,225,de
541,225,decided
542,225,published
543,225,wonder
544,225,daily
545,224,sun
546,224,knows
547,224,makes
548,223,huge
549,223,ten
550,223,mud
551,222,happy
552,222,persons
553,222,fear
554,222,police
555,222,fruit
556,221,simple
557,221,pencil
558,221,ancient
559,221,ice
560,220,age
561,220,business
562,220,names
563,220,try
564,220,swan
565,219,news
566,219,means
567,219,please
568,219,pond
569,219,owl
570,218,party
571,217,truth
572,216,sent
573,216,feet
574,216,boy
575,215,common
576,215,scene
577,214,wrong
578,214,talc
579,213,run
580,212,nature
581,212,family
582,211,pass
583,210,questions
584,210,pit
585,210,swans
586,209,mean
587,209,sight
588,209,tried
589,209,garden
590,209,wind
591,209,research
592,209,consider
593,208,somewhere
594,208,farmer
595,208,evening
596,208,carried
597,207,van
598,207,pigs
599,207,standing
600,207,mouth
601,207,st
602,207,weeks
603,207,short
604,207,including
605,206,live
606,206,held
607,206,terrible
608,206,bear
609,205,late
610,205,ditch
611,205,cupboard
612,204,ship
613,204,enid
614,204,bat
615,204,inside
616,203,calendar
617,203,speak
618,203,hundred
619,203,jar
620,203,child
621,202,janitor
622,201,stood
623,201,interest
624,200,radio
625,200,mighty
626,200,deep
627,200,immediately
628,199,country
629,199,lars
630,198,seem
631,198,leave
632,198,love
633,198,wool
634,197,favourite
635,197,cut
636,197,library
637,197,goes
638,196,wanted
639,196,station
640,196,hill
641,196,ma
642,195,blind
643,195,listen
644,194,below
645,194,bring
646,194,play
647,194,similar
648,194,fall
649,193,watch
650,193,barn
651,193,cast
652,193,entitled
653,192,soup
654,192,works
655,192,cup
656,192,act
657,191,understand
658,191,television
659,191,study
660,191,proper
661,190,alone
662,190,memory
663,189,entire
664,189,somehow
665,189,hour
666,189,worth
667,189,gas
668,188,bad
669,188,magazine
670,188,seven
671,188,neck
672,188,arms
673,188,type
674,188,bowl
675,188,hotel
676,188,exciting
677,187,page
678,187,available
679,187,splendid
680,187,wet
681,187,says
682,186,earlier
683,186,according
684,186,text
685,186,view
686,186,space
687,186,strange
688,186,egg
689,185,office
690,185,body
691,185,thousand
692,185,fool
693,184,metal
694,183,thanks
695,183,pamphlets
696,182,dream
697,182,merely
698,182,placed
699,182,passing
700,182,bones
701,181,fellow
702,181,city
703,181,remain
704,180,suppose
705,180,stars
706,180,band
707,179,prince
708,179,foot
709,179,complete
710,179,fields
711,179,latest
712,179,mention
713,179,surely
714,178,wait
715,178,discovered
716,178,knowledge
717,178,press
718,178,familiar
719,178,led
720,178,building
721,177,mysterious
722,177,special
723,177,path
724,176,n
725,176,talking
726,176,buy
727,176,living
728,176,cover
729,176,poor
730,175,sign
731,175,iron
732,175,ready
733,175,empty
734,175,trees
735,175,red
736,175,letters
737,174,armed
738,174,struck
739,174,middle
740,174,yourself
741,173,version
742,173,met
743,173,named
744,172,bright
745,172,re
746,172,saying
747,171,front
748,171,sudden
749,171,notes
750,171,absolutely
751,171,beerpint
752,170,hold
753,170,figure
754,170,free
755,170,system
756,169,ll
757,169,brief
758,169,muck
759,168,vast
760,168,general
761,168,secret
762,168,visit
763,168,sir
764,168,appear
765,167,b
766,167,railway
767,167,ones
768,167,devoted
769,166,heaven
770,166,eerie
771,166,manner
772,166,london
773,166,thousands
774,166,tears
775,166,war
776,166,stone
777,166,dennis
778,166,alas
779,166,hills
780,165,lives
781,164,nobody
782,164,noted
783,164,stuff
784,164,played
785,164,report
786,164,stories
787,164,returned
788,163,dawn
789,163,third
790,163,evidence
791,163,soul
792,162,precisely
793,162,months
794,162,somewhat
795,162,street
796,162,pretty
797,161,power
798,161,dreams
799,161,ducks
800,161,collection
801,161,tale
802,160,carry
803,160,snow
804,160,realised
805,160,wood
806,160,occasionally
807,159,golden
808,159,purpose
809,159,mystery
810,159,size
811,159,reasons
812,159,occurred
813,159,recently
814,159,presence
815,159,writes
816,159,described
817,158,advent
818,158,english
819,158,stand
820,158,green
821,158,fat
822,158,halob
823,158,ve
824,158,follow
825,158,expect
826,158,detail
827,158,believe
828,158,stage
829,157,received
830,157,corner
831,157,pieces
832,157,colour
833,157,add
834,157,local
835,157,spite
836,157,flat
837,156,grew
838,156,experience
839,156,machine
840,155,saint
841,155,burning
842,155,gathered
843,155,begin
844,155,ways
845,155,crow
846,154,canal
847,154,difficult
848,154,details
849,154,shut
850,154,afternoon
851,153,latter
852,153,mentioned
853,153,continued
854,153,distant
855,153,mere
856,152,correct
857,152,reference
858,152,track
859,152,matters
860,152,sausages
861,152,managed
862,152,added
863,152,hut
864,151,wall
865,151,brains
866,151,died
867,150,public
868,150,aware
869,150,sing
870,150,care
871,150,usual
872,150,club
873,150,eat
874,150,appears
875,149,hideous
876,149,pleased
877,149,listening
878,149,train
879,148,curious
880,148,chalet
881,148,duck
882,147,wondered
883,147,potato
884,147,dust
885,147,horses
886,147,arrived
887,147,original
888,147,coming
889,146,songs
890,146,kitchen
891,146,pipe
892,146,abandoned
893,146,food
894,145,mountain
895,145,filthy
896,145,filled
897,145,author
898,145,forgotten
899,145,detective
900,144,grunty
901,144,considered
902,144,final
903,144,sit
904,144,lived
